"Bora-Witoto","Murui Huitoto huu (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nono-kɯ",,"θɯkɯ-kaɯ",,,"o.ogodo",,,"emokɯ",,,,,,,,,,"hi.ibe","haikɯ.e",,,,,,,,"una.o",,,,,,,"oɸego-dʒɯ",,,,,,"bedʒa","huhɯ {tuber}, huθi.e {plant}","ma.ika",,,,,,,,,,,,,,"hiɸi-hɯ {fruit}, hiɸi-rai {plant}",,,,"reɸi-hɯ",,"dɯ.o-na",,,,,,,"hakai-hɯ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unclassified","Puinave","Mario Girón Higuita. 2008. Una gramática del wã⁄nsöjöt (Puinave).LOT, Utrecht.
","suamka",,,"ioikam","tɤʔ",,,,,,,"tui",,,"susim",,,,,"sauãn",,,,,,,,,,,,,,,"mõn",,,,,,"kãn","tim","uõk-nɤʔ",,,,,,,,,"ioi","iám",,,,"kok",,,,,,"hɤp",,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,
"Unclassified","Puinave","Daniel
","swamka",,,"ɟoikam","tɤʔ
",,,,,,,"tui
",,,"susim",,,,,"sauãn",,,,,,,,,,,,,,,"mõn",,,,,,"kãn","tim","uõgnɤʔ",,,,,,,,,"ioi","iám",,,,"kok",,,,,,"hɤp
",,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,
"Unclassified","Puinave pui (IDS)",,,,,,"tree: tə",,"kumana",,"kõmya",,,"generic palm: wo",,,"susim",,,,,,,,,,,,,,,,"wo","wo","wo","wo","wo","wo","wo",,,,"kãn","generic manioc: tim; wõk-də","generic manioc: tim; wõk-də",,,,,,"wo","wo",,,,,,,"kok",,"uyamá",,,,"həp-yõn",,,"wo",,,,"generic yam: yãmi",,,"wo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Unclassified","Puinave pui (IDS)",,,,,,"tree: tə",,"kumana",,"kõmya",,,"generic palm: wo",,,"susim",,,,,,,,,,,,,,,,"wo","wo","wo","wo","wo","wo","wo",,,,"kãn","generic manioc: tim; wõk-də","generic manioc: tim; wõk-də",,,,,,"wo","wo",,,,,,,"kok",,"ujamá",,,,"həp-jõn",,,"wo",,,,"generic yam: jãmi",,,"wo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Cubeo (cub) (NM) phonemic",,"muɣalijɔ","kɔ̃ɛnɔ́, kɔ̃ɛnɔ́lʉ, kɔ̃ɛnɔ́tʉkalʉ",,"ũɲulʉ","ɔ̃́lɛvɛ (generic term), ɔ̃́lɛ (generic term), abuɣuɔ̃lɛvɛ, duiɔ̃lɛvɛ, ɛ̃muɔlɛvɛ, vaɣaɔ̃lɛvɛ","ɔ̃́lɛ, ɔ̃́lɛɲʉ (both generic terms), kɔlɔkʉliɔ̃lɛɲʉ, palatʃanaɲʉ, ɔ̃́lɛvɛ (generic term)","pɛjaujabɛ, vɛamujabɛ",,"ɣɔkɔbʉ, ɣɔkɔlʉ, múɣivɛ","ɣipɔkṹlalʉ, ɣṹɣɔdɛdimidʉ",,"matʃi, ũmɛnami",,,"kavamɛnɛ, kavamɛnɛɲʉ",,,,"pátu",,,,"ɣĩma",,"kʉ̃́bɔakʉ, kʉ̃́kʉ, ɛulakʉ, ɛulakʉ ʉlajɔkakʉ, ɔtɛiɛɔmu",,,,,"bɔlijʉikʉ, ɣũajʉikʉ, ɣṹmɛjʉikʉ, míjʉikʉ, jʉikʉ",,"ɲuka",,,"ṹlɛ",,,"japika","japika","ilimáu","vɛavʉ","kʉika","ãikʉika",,"tʃĩtʃi (generic term), abuɣutɔa, kũmutʃĩtʃi",,"tʃínaɲʉ","papajabɔ",,,,"iɣi, iɣibɔ (both generic terms), kɔ́iɣibɔ, dɔðɛiɣibɔ, máiɣibɔ, vɛkʉiɣibɔ",,,,,,,,,"japika",,"butʃi, butʃitʉlava",,,,,"apamu, tɔamu",,"ɲamuka, mʉlɛɲamuka",,,,,,,,"jɛ́ka
",,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Cubeo (cub) (NM) orthographic",,"mujariyo","cõenó, cõenórʉ, cõenótʉcarʉ",,"ũñurʉ","ṍreve (generic term), ṍre (generic term), abujuõreve, duiõreve, ẽmuoreve, vajaõreve","ṍre, ṍreñʉ (both generic terms), corocʉriõreñʉ, parachanañʉ, ṍreve (generic term)","peyauyabe, veamuyabe",,"jocobʉ, jocorʉ, mújive","jipocṹrarʉ, jṹjodedimidʉ",,"machi, ũmenami",,"kakaɔkʉ, vakɔkʉ (both names of tree)","cavamene, cavameneñʉ",,,,"pátu",,,,"jĩma",,"cʉ̃́boacʉ, cʉ̃́cʉ, euracʉ, euracʉ ʉrayocacʉ, oteieomu",,,,,"boriyʉicʉ, jũayʉicʉ, jṹmeyʉicʉ, míyʉicʉ, yʉicʉ",,"ñuca",,,"ṹre",,,"yapica","yapica","irimáu","veavʉ","cʉica","ãicʉica",,"chĩchi (generic term), abujutoa, cũmuchĩchi",,"chínañʉ","papayabo","ñóveañʉ",,,"iji, ijibo (both generic terms), cóijibo, doðeijibo, máijibo, vecʉijibo",,,,,,,,,"yapica",,"buchi, buchitʉrava",,,,,"apamu, toamu",,"ñamuca, mʉreñamuca",,,,,,,,"yéca
",,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Carapana","Metzger, Ronald G., compiler. 2000. Marĩ yaye mena Carapana, yaia yaye mena Español macãrĩcã tuti = Carapana-Español, diccionario de 1000 palabras. Bogotá: Editorial Alberta Lleras Camargo. v, 157 p.","musã","ʉpe","wãsõ (for fishing)","ʉnu","opũ ",,"cũmana",,"waaro",,,"nee",,,"ñucãmene","jõna",,"misĩ (wẽẽ)",,"busa (kapok  cotton)",,,"nima (poison for fishing)",,"esu",,,,,,,,,,"ʉ̃ne",,,,,,"orica","quii",,,"waperiti",,"mui",,,,,"jẽna",,,,,"bai",,,,"capo, ñapĩ, rutu",,"mʉno",,,,,,"ʉse",,,"pica",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Carapana","Amanda Novak","mũsã","ɨpɛ","wãsɔ̃ (for fishing)","ɨnũ","ɔpũ ",,"kũmãnã",,"waaɾɔ",,,"nɛɛ",,,"ɲũkãmɛ̃nɛ̃","xɔ̃nã",,"mĩsĩ (wɛ̃ɛ̃)",,"busa",,,"nĩmã ",,"ɛsu",,,,,,,,,,"ɨ̃nɛ̃",,,,,,"ɔɾika","kii ",,,"wapɛɾiti",,"mũi",,,,,"xẽnã",,,,,"bai",,,,"kapɔ, ɲãpĩ, ɾutu",,"mɨ̃nõ",,,,,,"ɨsɛ",,,"pika",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Guanano gvc (stenz revised) ",,,,,,"ho",,,,,,,,,,"khadʉ ",,,,,,,,,,,,,,,,,,,,,,,,,,"yo ","dʉkʉ",,,,,,,,,,"~sare",,,,,"bia",,,,,,"~bʉ'do",,,,,,"se",,"~bede",,"its fruit: ~yʉbʉ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Guanano gvc (stenz revised) ",,,,,,"ho",,,,,,,,,,"kʰãn~ʉ (ʉ nas and hi tone) (stenz)",,,,,,,,,,,,,,,,,,,,,,,,,,"jóó (stenz)","dʉkʉ",,,,,,,,,,"~sare",,,,,"bia",,,,,,"~bʉʔdo",,,,,,"se",,"~bede",,"its fruit: ~jʉbʉ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Macuna","Smothermon, Jeffrey R. and Josephine H. Smothermon, compilers. 1993. Masa ye, gawa ye rãca ãmara tuti (Macuna - español diccionario de 850 palabras). Bogotá: Editorial Alberto Lleras Camargo. 206 p.","abujumujariyocʉ (tree), musa",,"joragʉ (for fishing), yiru","ũñu","ojo","ojo","cũmana",,"coa",,,,,,"mimi yucʉ, mimire ","sõna",,,"caji",,,,,,"cũra",,,,,,,,,,"jota",,,,,,"ojorica","quĩ",,,"abujutoa",,,,,,,"sẽnagã",,,,,"bia",,"coa",,"ñaji",,"mʉno",,,"jota",,"apamu, toamu","ʉye","ñamo",,"micagã",,"cõne",,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Macuna","Amanda Novak","abuxumuxaɾiyokɨ (tɾee), musa",,"xolagɨ (fol fishing), yilu","ũɲu","oxo","oxo","kũmana",,"koa",,,,,,"mimi yukɨ, mimilɛ ","sõna",,,"kaxi",,,,,,"kũna",,,,,,,,,,"xota",,,,,,"oxolika","kĩ",,,"abuxutoa",,,,,,,"sɛ̃nagã",,,,,"bia",,"koa",,"ɲaxi",,"mɨno",,,"xota",,"apamu, toamu","ɨyɛ","ɲamo",,"mikagã",,"kõnɛ",,,,,,,,,,,,,,,,,,,,,,,,,"
"
"Tucanoan","Piratapuyo","Huber, R.; Reed, R. 1992. Comparative vocaulary: selected words in indigenous languages of Colombia. Instituto Linguistico de Verano.","ba'sisõʔ'ã",,,,,"jo'ajeho",,,"wa'ha-ga",,,,,,"kã'nɨ̃",,,,"patu","ju'ta",,,,,,,,"ka'pi",,,,,,,"ɨ̃'rẽjo",,,,,,"joo","kɨ",,,,,,,,,,,,,,,,,,,"ja'pĩ",,"bɨ̃ʔ'dõ",,,,,,,"jãʔ'bũ (generic yam)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"
"Tucanoan ","Siriano","Brandrup, Beverly Ann 1980. Fonología del siriano. En: Vocabulario siriano-español. Lomalinda: ILV/MG.","musã́",,,"ũɲú",,"ũhũpũ",,,"waaimáɾo",,,"neé",,,"miúméɾẽ","sõɾã́",,"sɨ̃gã́da","ãpĩ́","juɾá",,,,,"waainímagɨ",,,"gapí",,,"ɲumú","ɲukã́",,,,"mihĩ",,,,"wiɾimoa","ohodɨka","kĩ́","ɲumúdukɨ (type of yuka)",,,,,"mamáũ",,"ɨ̃ɾĩ́",,"sẽɾã","ɲapĩ́",,,,,,,,,,"muuɾú",,,,,,,"ɲaamú",,,,"waá",,,,"gó, wãsṹɾu",,,,,,,,,,,,,,,,,,,,,
"Tucanoan ","Siriano","AP","musã́",,,"ũñú",,"ũjũpũ",,,"waaimáro",,,"neé",,,"miúmérẽ","sõrã́",,"sʉ̃gã́da","ãpĩ́","yurá",,,,,"waainímagʉ",,,"gapí",,,"ñumú","ñucã́",,,,"mijĩ",,,,"wirimoa","ojodʉca","quĩ́","ñumúducʉ (type of yuca)",,,,,"mamáũ",,"ʉ̃rĩ́",,"sẽrã","ñapĩ́",,,,,,,,,,"muurú",,,,,,,"ñaamú",,,,"waá",,,,"gó, wãsṹru",,,,,,,,,,,,,,,,,,,,,
"Tucanoan ","Tanimuca tnc","Gaviria, Sofia Victoria – Luis José Azcárate 1979. Fonología y lexicología de la lengua tanimuka. Bogotá: Universidad de los Andes, Facultad de Artes y Ciencias, Departamento de Antropología",,,,"ũ'dyũã","pa 'rua",,,,,,,"dẽ'ẽã ri'ta hũ'kia",,"ka'kawa","po'ta wa'hoa",,,,,,,,,,"ẽ'dyõ bĩ'hĩã",,,,,,,"dyũ'kãkã",,,"ĩ'rẽã","pi pi ri'ta hũkia",,"dyãʔ'bũã",,"iri bã'bã","o'aka","kia",,,"riho'o ri'ka",,,,,,,,,,,,,,,,,,"bĩʔ'rõã",,,,,,,,,,,,,,,"wã 'hõã ",,,,,,,,,,,,,,,,,,,,,
"Tucanoan ","Tanimuca tnc","AP",,,,"ũ'dyũã","pa 'rua",,,,,,,"dẽ'ẽã ri'ta hũ'kia",,"ka'kawa","po'ta wa'hoa",,,,,,,,,,"ẽ'dyõ bĩ'hĩã",,,,,,,"dyũ'kãkã",,,"ĩ'rẽã","pi pi ri'ta hũkia",,"dyãʔ'bũã",,"iri bã'bã","o'aka","kia",,,"riho'o ri'ka",,,,,,,,,,,,,,,,,,"bĩʔ'rõã",,,,,,,,,,,,,,,"wã 'hõã ",,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Tucano hr97","West, Birdie 1980; Ramirez, Henri 1996a",,"opê",,"ũjû","ohô",,,"pi'î-kãro","wahá-ro (h&r)",,,"ne'ê",,,"ãrɨ̃́","sõrâ",,"misî","paâtu","bu'sá, jutâ bu'sa",,,"nimá",,"ehû","we'é",,,"ba'tî",,"jumû","jaî-beta",,,"ɨ̃rẽ-jõ (h&r)","mipî","diâ-beta","ja'mû 'generic (there are other names for several species)","ja'mû 'generic",,"ohôka","kií (generic)","kií (generic)",,,,"muhî",,"watá","ɨ̃rê",,"sẽrá","jãpî",,,,"biâ",,,"dɨka-tẽé","jãpĩ́",,"mɨ'rô",,,,,,,"kapô",,,"jumû",,,,,,,,,,,,,,,,,,,,,,,,,,"
"
"Tucanoan","Tucano","AP",,"opê",,"ũyû","ohô",,,"pi'î-kãro",,,,"ne'ê",,,,"sõrâ",,"misî","paâtu","bu'sá, yutâ bu'sa",,,"nimá",,"ehû","we'é",,,"ba'tî",,"yumû","yaî-beta",,,,"mipî","diâ-beta","ya'mû 'generic (there are other names for several species)","ya'mû 'generic",,"ohôka","kií (generic)","kií (generic)",,,,"muhî",,"watá","ɨ̃rê",,"sẽrá","yãpî",,,,"biâ",,,"dɨka-tẽé",,,"mɨ'rô",,,,,,,"kapô",,,"yumû",,,,,,,,,,,,,,,,,,,,,,,,,,"
"
"Tucanoan ","Tuyuka tue IDS orthographic",,,,,,"tree: ho'o-wõ",,"pi'rihori",,"wa'a",,,"generic palm: -wõ",,,"kã'dɨ̃",,,,,,,,,,,,,,,,"-wõ","-wõ","-wõ","-wõ","-wõ","-wõ","-wõ",,,,"'horika","generic manioc: we'ta; ki'i","generic manioc: we'ta; ki'i",,"di'ti",,,,"-wõ","-wõ",,,,,,,"'bia",,,,"yã'pĩ",,"bɨ̃'dõ",,,"-wõ",,,,"generic yam: yã'bũ",,,"-wõ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Tuyuka tue IDS phonemic",,,,,,"tree: hoʔo-wõ",,"piʔrihori",,"waʔa",,,"generic palm: -wõ",,,"kãʔdɨ̃",,,,,,,,,,,,,,,,"-wõ","-wõ","-wõ","-wõ","-wõ","-wõ","-wõ",,,,"ʔhorika","generic manioc: weʔta; kiʔi","generic manioc: weʔta; kiʔi",,"diʔti",,,,"-wõ","-wõ",,,,,,,"ʔbia",,,,"jãʔpĩ",,"bɨ̃ʔdõ",,,"-wõ",,,,"generic yam: yãʔbũ",,,"-wõ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Tuyuka","Tamayo L., César 1988. Mi primer diccionario: español-tuyuca, tuyuca-español (primera edición), ed. por J. Barnes. Bogotá: ILV.","bũ'sã́","upe",,"ũñu","joo","ho'ó",,,,,,"nee",,,"kã'dɨ̃́","sũna",,"misĩ (general)","pátu","ju'tá, busa (ct)",,,,,"eju",,,"ka'pí",,,,,,,"ɨ̃'dẽ́-wõ",,,,,"irimóa","hórika","kii",,,"diti",,,,,,,"sẽna",,,,,,,,,,,"mɨno",,,,,"misĩ (general)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Tuyuka","AP","bũ'sã́","upe",,"ũñu","joo","ho'ó",,,,,,"nee",,,"kã'dɨ̃́","sũna",,"misĩ (general)","pátu","ju'tá, busa (ct)",,,,,"eyu",,,"ka'pí",,,,,,,"ɨ̃'dẽ́-wõ",,,,,"irimóa","hórika","quii",,,"diti",,,,,,,"sẽna",,,,,,,,,,,"mʉno",,,,,"misĩ (general)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Yuruti",,"bũũsã",,,,,"ṍpũ",,,"wáha",,,,,,"jũ'kãbẽdẽ",,,,"'pátu","júta",,,,,,,,"káapi",,,,,,,"ɨ̃́dẽ-wõ",,,,,,"órika","kíi",,,,,,,,,,,,,,,,,,,"jã́pĩ",,"bɨ̃́dõ",,,,,,,"jã́bõ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"
"Tucanoan","Yuruti",,"bũũsã",,,,,"ṍpũ",,,"wáha",,,,,,"jũ'kãbẽdẽ",,,,"'pátu","júta",,,,,,,,"káapi",,,,,,,"ɨ̃́dẽ-wõ",,,,,,"órika","kíi",,,,,,,,,,,,,,,,,,,"jã́pĩ",,"bɨ̃́dõ",,,,,,,"jã́bõ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"
"Tucanoan","Orejon","""Velie, Daniel and Velie Virginia. (2008) (second edition). Vocabulario orejon. Serie Lingüística Peruana No. 16. Yarinacocha, ILV.
","bosa ja (ja marks neuter gender)","maja ja",,,"o ja",,,,,,"yaometo ñi ja (ñi= 3 person male; yaometo=ajo, cebolla)","ne ñi ja",,"chiocutu ñi ja","yoco ja",,,"yajime ja",,"yɨi ja",,,,,"eo ja",,,"yaye ja",,"jai suqui ñi ja (jai=grande)","bosa ñi ja",,"beto ñi ja","chida ñi ja",,"imi boe ja","bidi ñi ja","bajo ja",,,"bea ja",,"jaso ja",,,,"mɨi ñi ja","anu ja","jɨico ñi ja","ɨne ñi ja",,"ichi ja, bichi ja","jaquɨ aguɨ","naso ñi ja",,,,,,,"yají ja","ɨca ja","mɨto ja",,,"bi ñi ja",,,"ede ja",,"yiaya mene ja",,,,,"ɨomɨa ñi ja",,"chidiga ñi ja (Portuguese loan)","
",,,,,,,,,,,,,,,,,,,,
"Tucanoan","Orejon","Person entering data: Daniel
","bosa xa","maxa xã",,,"o xã",,,,,,"jaometo ɲi xã","ne ɲi xa",,"tʃiõkutu ɲi xa","joko xã",,,"jaxime xã",,"yɨi xã",,,,,"eo xã",,,"jaje xã",,"xai sũki ɲi xã","bosa ɲi xã",,"beto ɲi xã","tʃida ɲi xã",,"imi boe xã","bidi ɲi xã","baxõ xã",,,"bea xã",,"xãso xã",,,,"mɨi ɲi xã","anu xã","xɨiko ɲi xã","ine ɲi xã",,"itʃi xã, bitʃi xã","xakɨ agɨ","naso ɲi xã",,,,,,,"jaxi xã","ɨka xã","mɨto xã",,,"bi ɲi xã",,,"edei xã",,"jiaja mene xã",,,,,"ɨomɨa ɲi xã",,"tʃı̃rı̃ga ɲi xã",,,"
",,,,,,,,,,,,,,,,,,
"Tucanoan","Koreguaje","""Cook, Dorothy and Gralow, Frances. 2001. Diccionario bilingüe: Koreguaje - Español, Español - Koreguaje. Bogotá: Editorial Alberto Lleras Camargo. 
","pũsañʉ","maja",,"capaiñʉ","oovʉ","oorepa",,,"okopʉ","suania","mʉañʉ","ne'e",,"sĩuñʉ","chʉ'chʉ",,,"cha'i","jipie","chʉi","tãke jõ'jañʉ",,,"ñajo tẽ","ote ñaña",,,,,"chʉiñʉ",,"ñukame",,,"ʉneñʉ",,,,,"limopʉ (Spanish loan)","veavʉ","ãuva","ã'sova",,,,,"vatiojepʉ",,,"ñajo tẽ","ĩsipu","papapʉ",,,,"chu'chu pia",,"okopʉ",,,"vi'to","mʉtokorovʉ","ñukame",,"viiñʉ",,"oko pĩsimu","pĩsi ʉche (ʉche=grape)","ñajova",,,,,"arokoro",,,,"
",,,,,,,,,,,,,,,,,,,,
"Tucanoan","Koreguaje","Daniel
","pũsaɲƱ","maxa",,"kapaiɲƱ","oobƱ","oorepa",,,"okhopƱ","suania","mƱaɲƱ","neʔe",,"sĩuɲƱ","dʒƱʔdʒƱ",,,"dʒaʔi","xipie","dʒƱi","thãkhe xõʔxaɲƱ",,,"ɲaxo thẽ","othe ɲaɲa",,,,,"dʒƱiɲƱ",,"ɲukame",,,"ƱneɲƱ",,,,,"limopƱ","beabƱ","ãuba","ãʔsoba",,,,,"batioxepƱ",,,"ɲaxo tẽ","ĩsipu","papapƱ",,,,"dʒuʔdʒu pia",,"okhopƱ",,,"biʔtho","mƱtokhorobƱ","ɲukhame",,"biiɲƱ",,"okho pĩsimu","pĩsi Ʊdʒe","ɲaxoba",,,,,"arokoro",,"
",,,,,,,,,,,,,,,,,,,,,,
"Tucanoan ","Siona","Huber, Randall and Reed, Robert. 1992. Vocabulario comparativo. Palabras selectas de lenguas de Colombia. ILV, Santafé de Bogotá.
",,,,"wɨo sɨ wẽkineo","noka",,,,"tayɨ",,"bo miã (white cedar), ma miã (red cedar)","ne'e",,"sĩ 'e","gãtɨ",,,,,"yui",,,,,,"we'e",,,,"huo yui (blowgun cotton)",,,,,,,,,,"limón (Spanish loan)","wea",,"ã'só",,,,,"watihĩko",,"ɨnẽ",,"hai ĩnsĩ",,,,,,,,,"yahi",,"mɨtó",,,,,,,,,,,"mame",,,,"""
",,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Siona","Daniel
","bõ´sa",,"gã´tɨ",,"´o",,,,,,,,,,,,,,,"´jɨi",,,,,,,,"ja´he",,,,,,,,,,,,,"we´a","´kɨi",,,,,,,,,,,,,,,"bi´a",,,,,,"mɨ̃´to
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Desano","Addison Martinez","mosã",,,"ũñu",,"ojo",,,"coaru",,,,,,"gãrʉ","gõrẽ",,"sĩgã","ãpĩ",,,,"nima",,"nia",,,,,,,,,,,,,,,"warimoã",,"quĩ","quĩ","sʉ̃ĩ̃ri",,,,,,,,"sẽrã","ahʉ",,,,"bia",,"coaru",,"ñapĩ",,"muru",,,,,,,"ñamu",,"pihca",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Desano","Addison Martinez","mosã",,,"ũñu",,"oho",,,"coaru",,,,,,"gãrɯ","gõrẽ",,"sĩgã","ãpĩ",,,,"nima",,"nia",,,,,,,,,,,,,,,"warimoã",,"kĩ","kĩ","sɯ̃ĩ̃ri",,,,,,,,"sẽrã","ahɯ",,,,"bia",,"coaru",,"ñapĩ",,"muru",,,,,,,"ñamu",,"pihca",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan","Barasano","Addison Martinez",,,,,"oho",,,,,,,,,,,,,,"kahi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isolate","Cofan","Borman, M. B. (comp). 1976. Vocabulario Cofan: Cofán - Castellano, Castellano -Cofán. Serie de Vocabularios Indígenas Mariano Silva y Aceves. No. 19.ILV, Quito.
","cuña",,"caofa´cco","atsa","geño",,"se´va",,"ccoa, cco´a",,,,,"cacavo (Spanish loan?)","sutsapa´cco",,,"ccuccufa",,"shichha ta´va",,"ávano",,"mani (Spanish loan)","seña´mba",,,"oco yaje",,"ufaque´su ta´va",,,"tuinfa",,"o´ma",,,,,"rimo´cho (Spanish loan)","ppu´ppu","seje´pa a´mba ","a´mba",,"sina",,,"papaya (Spanish loan)",,,"mani (Spanish loan)","chiviya","sisa, atta",,,,"ccoma",,"ccoa",,"quefa","cancho (Spanish loan?)","ccumba",,,,,,"otsepaecho tsaja",,"fiño",,,,,,,"""cancho (Spanish loan)
",,,,,,,,,,,,,,,,,,,,,
"Isolate","Cofan","Daniel
",,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isolate","Candoshi","Tuggy, John. 2008. Vocabulario candoshi de Loreto (2da. Ed). Serie Lingüística Peruana no. 2. ILV, Lima.","yobsa","kansi","gooshi","parta (Spanish loan)",,"parádama (Spanish loan?)","miika",,"tódó",,,"kacho",,"kavárólli",,,,"tabshi",,"porasha",,,,"yaashi","tĩmó",,,"zoroopzi",,"sibona","goalli",,"chabiira",,"vayopzi","sona",,"chámó",,,"yovato",,"kazinzi (not specified as sweet or bitter)",,"karapo","ktánoróchi","yarápaya","kupaayo","taránzĩ","másĩ","yaashi","korisha",,,,,"komaazi",,"tódó",,"vishichi",,"tsapantsi",,,,,,,,,,,,,,,"""
",,,,,,,,,,,,,,,,,,,,,
"Isolate","Candoshi","Daniel","jompsa","kansi","nkooʃi","paɾta",,"paɾántama","miika",,"tóntó",,,"katʃo",,"kawáɾóntʃi",,,,"tampʃi",,"poɾaʃa",,,,"jaaʃi","tĩmó",,,"ʂoɾoopʂi",,"simpona","nkoantʃi",,"tʃampiiɾa",,"wajopʂi","sona",,"tʃámó",,,"jowato",,"kaʂinʂi",,"kaɾapo","ktánoɾotʃi","jaɾápaja","kupaajo","taɾánʂĩ","másĩ","yaaʃi","koriʃa",,,,,"komaaʂi",,"tóntó",,"biʃitʃi",,"tsapantsi",,,,,,,,,,,,,,,"""
",,,,,,,,,,,,,,,,,,,,,
"Isolate","Taushiro","Alicea Ortiz, Neftalí. 1975. Vocabulario taushiro. Datos etnolinguisticos no. 22. ILV, Lima.",,"inante´",,,,"antah",,,"a´jonti",,,"onanta´",,"va´cu","vantan tuntun ",,,,,"ano´",,,,"vañi","he´icha",,,"anu´vu´",,,"ayo´janva",,"anoya a´jo´que",,,"cunevah",,"hae´u",,,"ho´antu´",,"shie (not specified as sweet or bitter)",,,,"ahan","cu´cuayo","inta´","avante","vañi (Spanish loan)","vants",,,,,"aehin (Spanish loan?)",,"a´jonti",,"unuchi´tu","huntu´toa","tayacu (Spanish loan)",,,,"canani",,"ha´ava",,"jei´jon",,,,,"cantah",,"""jonvane
",,,,,,,,,,,,,,,,,,,,,
"Isolate","Taushiro","Daniel
",,"inantɨʔ",,,,"antah",,,"aʔxonti",,,"onantaʔ",,"waʔku","wantan tuntun",,,,,"anoʔ",,,,"wañi","hɨʔiʃa",,,"anuʔwuʔ",,,"ajoʔxanwa",,"anoja aʔxoʔkɨ",,,"kunɨwah",,"haɨʔu",,,"hoʔantuʔ",,"ʃiɨ",,,,"ahan","kuʔkuajo","intaʔ","awantɨ","wañi","wants",,,,,"aɨhin",,"aʔxonti",,"unuʃiʔtu","huntuʔtoa","tajaku",,,,"kanani",,"haʔawa",,"xeiʔxon",,,,,"kantah",,"""jonwanɨ
",,,,,,,,,,,,,,,,,,,,,
"Yanomam","Ninam shb (IDS) ","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; entered by Megan Gibler",,,"
",,"kalatha sik(ids), karatha (gom)","pa ari cawIk, karat+o$ek (gom)",,,"hesi; mãlakaaš (ids); horoto (gom)",,,,,"rorok, roronak (gom)","yalekoi(ids), cowarikoIk (gom)","tree: ~oro$ihi (gom)",,,,"ma$itI Ik (gom)",,,,,,,,,,,,,,,,"fruit: ~maimak (gom),tree: ~maimasi (gom)",,,,,"lulumok, rIrimos (gom)","naškok; hakalakok (ids)",,,,,,"fruit: macaw (gom). Tree: macawIk (gom)",,"rasas (gom)",,"~painori, ~mainori (gom)",,,,,,,"šelimuk",,"hikomik (ids), hokomok (gom)",,"pinahi",,,,,,,"~wa ahe ri$i$i (gom)","krep+ ~Ik (gom)",,"~hokoromak (gom)","lahok",,,,,,,,,,,,,,,,,,,,,,,,,
