,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
"Tucanoan","Cubeo (cub) (NM) orthographic","KN ","jʉbʉcaco","buʉ",,,,,"pãmurʉ (general), jevebo, jiapãmurʉ, pãmuboridʉ, piarápãmurʉ, põepamurʉ","oðorʉ (término genérico), cũioðorʉ, meaoðorʉ","ãrarabo, cãinébo (carpenter), mumidʉ (honey bee, genral term), biarocʉ, jivemumidʉ, mumiboridʉ, mumijuaridʉ, mumiñeminidʉ, vácoemabo. ",,"cajedocʉ (general term), bobotomocʉ, caocʉ, cũabejorʉacʉ, dobicʉ, jĩ́miacʉ, jocʉcʉ, jʉ̃mecucʉ, jʉ̃medʉcʉ, ñemicajedocʉ, ocomiaðacʉ, põjacʉ, quedavichicʉ, úboacʉ, védacʉ, yapechimucʉ","taque (capuchin)","chiaidʉ, ʉjʉyororʉ","vã́ri (general term), vã́rijeje","paipí","mujuñoco (generic term), caraðo, paðedico, tʉcʉrʉco, yoroco","ñamaco (generic term), dáñamaco, ñamajuaco, ñamajʉmeco, veacaveco","yavimi",,,"pátu (generic term), macajitapatu,  vã́rari (pato agujan),  bedebo (pato granden), ãibedejĩcʉ (pato pequeñon).","bue, puraqui (neither necessarily electric, just eels)","moacʉ (generic term), búpijĩcʉ, búpiyo, cuitótecarʉ, ẽtaroco, jiatʉravacacʉ, mamʉrʉmoacʉ, ocorʉmoacʉ, põejiaparidʉ","ope","tubacʉ","mie, mijacʉ","caparo (mico lanudo)","míyavi (generic term), cãtama, ĩeiebʉ (gavilán bidenten), ʉ̃robo (gavilán cangrejeron), toave (gavilán enano, gavilán pantalón), taquemiyavi (gavilán pita venado), cʉrapirebʉ (gavilán plomizo), cavavidi (gavilán tijereta)",,"vao (black), ẽmu (red)","mimiyo (generic term)","dúpu (generic term), cachiva, chãmaidupu, ẽpadupu, toavaridoacʉ","yavi","bʉcʉyavi, variyu","tãitʉ́rʉ","jimidʉ, mamʉjimidʉ,yavijimidʉ, yécajimidʉ","cãtamabo, cʉramucuribo, dárãpiaribo, numaaburidʉ","betacajaime, jaijome, jaime, jaiñemicʉ","mujaðocarʉ, numaveaborʉ, veaborʉ","cuatá (Spider Monkey)",,,"jemebo","cʉ̃́cʉ",,,"beibo (generic term), ẽmubeibo, ẽtabeibo",,"jiaðavi","tʉmi","pupuri (generic term),burucutucʉ","veco, vecobo (loro burrón), ẽ́jia (loro de cabeza de gavilán), tureórʉ (loro guaro, loro real), cʉpeveco (loro verde)","ãcabo (gallineta)",,"muñubo, tãchimuñurʉ",,"ábijoco",,"yai","tãitébo (fly, generic)","jurãro","bʉ́yoco (término genérico), cõjabʉyoco","no generic term",,,"buchitʉ̃rorʉ, jʉ̃jorʉ","vecʉ","bocomicʉ (generic term), abujucʉñʉabo, adamabocomicʉ, cũavicʉ, jobocururebocomicʉ, jupibocomicʉ, jʉbʉcabocomicʉ, mamʉbocomicʉ, miebocomicʉ, vaibocomicʉ, yavibocomicʉ. vʉ́yocʉ (comején alado, generic term), adamabocomivʉyocʉ (comején alado), cũavivʉyocʉ (comején alado), jupibocomivʉyocʉ (comején alado), jʉbʉcabocomivʉyocʉ (comején alado), mamʉbocomivʉyocʉ (comején alado), miebocomivʉyocʉ (comején alado), vaibocomivʉyocʉ (comején alado), yavibocomivʉyocʉ (comején alado)","cũʉbo (generic term), ijicũʉbo, jiacũʉbo, tépacũʉbo, ʉ̃recuʉbo, yaðacũʉbo.","joeve (generic term)","cava","uchicʉ (generic term), abujubiacacʉ, bejocʉ, boborocʉ, cãricauchicʉ, cãrajʉmeuchicʉ, chĩorocauchicʉ, dainamiuchicʉ, dáuchicʉ, diñʉuchicʉ, ẽpamuuchicʉ, jẽmeuchicʉ, jʉbʉcauchicʉ, marucuuchicʉ, momauchicʉ, ñenenecʉ, pãmuuchicʉ, penabacʉ, piaráuchicʉ, pupuriuchicʉ, pʉecuruuchicʉ, tacacauchicʉ, uchijãmecʉ, úyararocʉ, vaʉvácʉ, vecʉcʉbobauchicʉ, vʉyauchicʉ, vʉ́yojararobʉ, yapicũmuuchicʉ, yocameacʉ, jobouchicʉ (avispa chinatan)",,"kɔ̃lɛkɔ (generic term), takɛkɔ̃lɛkɔ (carpintero amarillo), kɔ̃lɛkɔ ʉlakɔ (carpintero gigante), pĩkɔlɛnɛkɔ (carpintero negro azul), kɔ̃lɛkɔ ʉlakɔ (carpintero pescuecirrojo), pidukɔ̃lɛkɔ (carpintero rabadilla roja), javikɔ̃lɛkɔ (carpintero real barbirrayado), pĩkɔkɔlɛkɔ (carpintero real pico amarillo)","jiaðavi, tʉmi",,"taque (mico capuchino)","vecoroñuico (garrapatero), ñuico (garrapatero común, garraptero hervidor)","cæcʉ (generic term), boricũcʉ, corocũcʉ, júcʉ, ṹmʉcacũcʉ","tataroco (generic term), avinatataroco, boritataroco, buʉtataroco, jiacãratataroco, jímiatataroco, joroboðatataroco, macatataroco, mácatataroco, pácorotataroco, pṹotataroco, pṹotuarotataroco, tépatataroco, vã́ritataroco, vecʉtataroco, yocatataroco, abujutataroco (mariposa diablo negro), bʉbebo (mariposa nocturna)","avimecʉ, cõriárʉ","momaroveco","cãmidʉ (freshwater, generic term), docʉcãmidʉ, macacãmidʉ, neicamidʉ, taquecãmidʉ","jureco (generic term), jurituco (paloma colorada), jiaðavitavarʉaco (paloma morada), mujajureco (paloma perdiz cara roja), jureboco (paloma pipa, paloma turca)","ũmenajocʉ",,"ñaparocʉ, utuve","bʉbebo","muri","cavarʉ","pṹpʉbo (generic term), ãcabo, boabéjevʉ, cuidópṹpʉbo, õporʉ, õpoyabe, taiyo, tãupʉpʉbo (araña del sol), moapʉpʉbo (araña pescador)","pãramebo (with stinger)","cõðojobo (generic term), beicõðojobo, tẽumacoðojobo, vecʉcõðojobo","bʉbʉco (generic term), cṹrabʉbʉco, ãchibʉbʉco (sapo gigante)",,,,,"
",,,,,,
"Tucanoan","Carapana (ortho)","Metzger, Ronald G., compiler. 2000. Marĩ yaye mena Carapana, yaia yaye mena Español macãrĩcã tuti = Carapana-Español, diccionario de 1000 palabras. Bogotá: Editorial Alberta Lleras Camargo. v, 157 p.","buu, wese buu",,"ʉso","pĩno","bia puña","peta","pãmo","oso","momia (honey-making), beroa","piño","ĩñaa","aque posaʉ (m.) aque (m.)",,,,"yesero","ñama cajõãʉ̃","wii yai, yai",,,"riapotaca","bue (generic eel)","wai",,"nurĩqũẽ","bʉco","jei (m.)",,,"ucʉ (masc.)","mimi",,"macãnʉcʉ̃ yai, yai","pisana (house cat)",,"mʉcã (armoured catfish?), pawa (siluro - wels catfish?), waijero?","ñimi",,,,"ñasã",,"jẽme",,,,"biipoto, bii","owa","ria tĩmi",,"bʉpʉpoco","weco",,,"bʉʉ","wãtõ","yucʉ ñama","ria boaro",,"beco (generic), nunurõ (sand fly)","wʉ̃nʉ",,"ãña ","ãña asero (rattlesnake), eri (crótalo), apoawo (taya equis)",,"wĩsõcã (red squirrel)","wecʉ",,"ujerica, uu (aquatic and edible)","rase","yuca","utia (pl.)","wãnopĩ","cõne",,,,,"wãsĩ",,"muni","asearo","ãpĩ","bua","bode, ria vode, ria pote",,,"momorõ","cotapa","jʉ̃ʉ","bʉpʉ",,"base","tʉbʉro",,,,,,,,,,,
"Tucanoan","Carapana (phono)","Amanda Novak","buu, wɛsɛ buu",,"ɨsɔ","pĩnɔ̃","bia puɲã","pɛta","pãmɔ̃","ɔsɔ","m̃ɔma, bɛɾɔa","piɲɔ̃","ĩɲãa","akɛ pɔsaɨ (m.) akɛ (m.)",,,,"yɛsɛɾɔ","ɲãmã kaxɔ̃ãɨ̃","wii jai, jai",,,"ɾiapɔtaka","buɛ","wai",,"nurĩkɛ̃","bɨkɔ","xɛi (m.)",,,"ukɨ (masc.)","mĩmĩ",,"mãkãnɨkɨ̃ jai, jai","pisana",,"m̃ɨcã, pawa, waixɛrɔ","ɲĩmĩ",,,,"ɲãsã",,"xẽmẽ",,,,"biipɔtɔ, bii","ɔwa","ɾia tĩmĩ",,"bɨpɨpɔkɔ","wɛkɔ",,,"bɨɨ","wãtɔ̃","jukɨ ɲãmã","ɾia bɔaɾɔ",,"bɛkɔ, nũnũɾɔ̃ (sand fly)","wɨ̃nɨ̃",,"ãɲã","ãɲã asɛɾɔ, ɛɾi, apawɔ ",,"wĩsɔ̃kã (red squirrel)","wɛkɨ",,"uxɛɾika, uu (aquatic and edible)","ɾasɛ","juka","utia (pl.)","wãnɔ̃pĩ","kõnɛ̃",,,,,"wãsĩ",,"mũnĩ","asɛaɾɔ","ãpĩ","bua","bɔdɛ, ɾia vɔdɛ,ɾria pɔtɛ",,,"mõmõɾõ","kɔtapa","xɨ̃ɨ","bɨpɨ",,"basɛ","tɨbɨɾɔ",,,,,,,,,,,
"Tucanoan","Guanano gvc (stenz rev)  (orthographic)",,"bo'so",,,,"boka",,"~phabo",,,,,,,,,,"~yaba","die",,,,"~sa'a",,,,"~bie",,"kha",,,,,"yai",,,"ki",,,,,,,,,,,,,,,,,,,"bʉ'ʉ",,,"bi'i",,,,,"~phido","~phido",,"~wiso","wachʉ","butua","ku","dasa",,,,,,,,,"~hu",,,"khasipo","~pʉ",,,,,,,"~su'i","wʉpʉ",,,,,,,,,,,,,,
"Tucanoan","Guanano gvc (stenz rev)  (phonemic)","Jagannathan, D","boʔso",,,,"boka",,"~pʰabo",,,,,,,,,,"~jaba","d`ié (i lo tone) (stenz)",,,,"~saʔa",,,,"~bie",,"kʰa",,,,,"jai",,,"kíí (stenz)",,,,,,,,,,,,,,,,,,,"bʉʔʉ",,,"bi'i",,,,,"~pʰido","~pʰido",,"~wiso","waʰʧʉ (ʉ hi tone) (stenz)","butua","ku","dasa",,,,,,,,,"~hu",,,"kʰasipo","~pʉ",,,,,,,"~suʔi","w~vʉʰpʉ (ʉ hi tone) (stenz)",,,,,,,,,,,,,,
"Tucanoan","Macuna (ortho)","Smothermon, Jeffrey R. and Josephine H. Smothermon, compilers. 1993. Masa ye, gawa ye rãca ãmara tuti (Macuna - español diccionario de 850 palabras). Bogotá: Editorial Alberto Lleras Camargo. 206 p.","bu",,"gʉso, jea gʉso, ria gʉso","jĩno",,"meca","jãmogã","oso","mumidʉ, beroa","jĩno","ĩa, ĩamʉ","gaque josu, wau","idire","yese",,"jorero, ñeteamʉ, ñimiamʉ","ñama, ñama sũagũ","ecarʉ yai, yai",," ",,"bue (generic)","wai",,"rʉ̃gõmeamʉ","bʉco",,"gajagʉ",,"ugʉ","mimi",,"yai (general term)","pisana (gen. cat)",,"wajega","ujuga","pawa, sai",,,"ñasa",,"sẽme","guia","maja",,"bi","oa","tĩmi",,"bʉjogabo, bʉricatu","weco","gãjagã",,,"wada sẽme","yase",,"yaje (heron)","nunuro, rũnuro, ʉsica","quereca","yua (general lizard)","ãña","ãña sirgʉ (crótalo), gajoabo (taya equis)",,"ñisocã, ũisocã (red squirrel)","wecʉ","adamabocomicʉ","guga, gusiria","rase","yuca","utia",,"cõne",,,,,"barewamʉ, rãjua, wãsiamʉ","jogoro","muni","jarawa, jarewa","gãjigã","buja","bode","wadoa",,,"cotiwaj̃a",,"bʉjʉ",,"gãjisĩa, gãjisʉa","tarobʉcʉa (grande)",,,,,,,,,,,
"Tucanoan","Macuna (phono)","Amanda Novak","bu",,"gɨso, xɛa gɨso, lia gɨso","xĩno",,"mɛca","xãmogã","oso","mumidɨ, bɛɾoa","xĩno","ĩa, ĩamɨ","gakɛ xosu, wau","idilɛ","yɛsɛ",,"xolɛlo, ɲɛtɛamɨ, ɲimiamɨ","ɲama, ɲama sũagũ","ɛcaɾɨ yai, yai",," ",,"buɛ (gɛnɛɾic)","wai",,"lɨ̃gõmɛamɨ","bɨko",,"gaxagɨ",,"ugɨ","mimi",,"yai (general term)","pisana (gen. cat)",,"waxɛga","uxuga","pawa, sai",,,"ɲasa",,"sɛ̃mɛ","guia","maxa",,"bi","oa","tĩmi",,"bɨxogabo, bɨlikatu","wɛko","gãxagã",,,"wada sɛ̃mɛ","yasɛ",,"yaxɛ (hɛron)","nunulo, lũnulo, ɨsika","kɛɾɛka","yua (general lizard)","ãɲa","ãɲa siɾgɨ (cɾótalo), gaxoabo (taya equis)",,"ɲisokã, ũisokã (red squirrel)","wɛkɨ","adamabokomikɨ","guga, gusilia","lasɛ","yuka","utia",,"kõnɛ",,,,,"baɾɛwamɨ, lãxua, wãsiamɨ","xogoɾo","muni","xaɾawa, xaɾɛwa","gãxigã","buxa","bodɛ","wadoa",,,"kotiwax̃a",,"bɨxɨ",,"gãxisĩa, gãxisɨa","talobɨkɨa (gɾande)",,,,,,,,,,,"
"
"Tucanoan","Piratapuyo (phonemic)","Huber, R.; Reed, R. 1992. Comparative vocaulary: selected words in indigenous languages of Colombia. Instituto Linguistico de Verano.","buu",,"ɨ'so",,,,"pã'bõ","o'so","u'bĩkɨ̃dɨ̃","pĩ'dõ-dõ",,,,"je'se buʔuro",,,"jã'bã","di'e-ro",,,,,"wa'ʔi",,"dɨʔ'kõpe","bĩ'ẽ",,,,"ẽ'bõ","ĩ'bĩ","jo'asõ","jai-ro",,,,,,"ka'ta bã'hã","wa'ʔu",,"di'a we'kɨ (?dog+tapir)","sẽ'bẽ","kɨ'ʔaɨ̃","bã'hã",,"bi'ʔi",,"di'ejoʔo",,"ɨ'pɨ po'ko","we'ko",,"je'se","bɨ'ʔɨ",,,,,,,,"ã'jã","soʔ'kõ seʔero",,,"we'kɨ","bu'tuaɨ̃","ku-ri","da'se",,,,,,,"uʔ'kũɨ",,"ãhãɨ",,,,,,,,,,,,"ɨ'pɨ",,,"ta'ʔaro kɨ",,,,,,,,,,,"
"
"Tucanoan ","Siriano (phono)","Brandrup, Beverly Ann 1980. Fonología del siriano. En: Vocabulario siriano-español. Lomalinda: ILV/MG.",,,,,"pṹtĩ́ɾã́mɨ́",,"pãmú","ojo","beeɾoámɨ",,"meɾẽ́pubapaɾu",,,"jesé mutĩ́ɾú",,"peápĩ́gã́ɾamɨ, poɾéɾo","ɲamá (=tripod)","diajee",,,"diákáɾá, diákóma",,"waaí",,"sĩ́nugã́me","bugú",,"gapaɾɨ",,"oogɨ́","mimí","ẽejá-ɾi",,,,"saaí (type of bagre fish)",,"doé, pawá (guabina)","uhú","gakíɲígɨ",,,"sẽmé","pṹmɨ́ɾãmɨ",,,"diipóɾabu mɨtãgãmɨ","oá",,"diáɲáɾã",,"guekéɾu, wekó","ãgã́","jesé sɨɾígɨ́","ikíámɨ́",,,,"jahí",,"kéɾa",,"ãɲá",,,"misõkã́","wekɨ́",,"pejó, pejú","nasĩ́",,"utímɨ",,,,,"waaú",,,"poogoɾó",,"sɨɾíɾã́mɨ́",,"buhá",,,,"peátúɾu","koɾébaabá","sɨ̃ɨ̃ĩ́","bɨpɨ́",,,"tɨbɨ́ɾó",,,,,,,,,,,
"Tucanoan ","Siriano (ortho)","AP",,,,,"pṹtĩ́rã́mʉ́",,"pãmú","oyo","beeroámʉ",,"merẽ́pubaparu",,,"yesé mutĩ́rú",,"peápĩ́gã́ramʉ, poréro","ñamá (=tripod)","diayee",,,"diácárá, diácóma",,"waaí",,"sĩ́nugã́me","bugú",,"gaparʉ",,"oogʉ́","mimí","ẽeyá-ri",,,,"saaí (type of bagre fish)",,"doé, pawá (guabina)","ujú","gaquíñígʉ",,,"sẽmé","pṹmʉ́rãmʉ",,,"diipórabu mʉtãgãmʉ","oá",,"diáñárã",,"guequéru, wecó","ãgã́","yesé sʉrígʉ́","iquíámʉ́",,,,"yají",,"quéra",,"ãñá",,,"misõcã́","wecʉ́",,"peyó, peyú","nasĩ́",,"utímʉ",,,,,"waaú",,,"poogoró",,"sʉrírã́mʉ́",,"bujá",,,,"peátúru","corébaabá","sʉ̃ʉ̃ĩ́","bʉpʉ́",,,"tʉbʉ́ró",,,,,,,,,,,
"Tucanoan ","Tanimuca tnc (phono)","Gaviria, Sofia Victoria – Luis José Azcárate 1979. Fonología y lexicología de la lengua tanimuka. Bogotá: Universidad de los Andes, Facultad de Artes y Ciencias, Departamento de Antropología",,,"kahu",,"bẽ'kã 'ka","pã'ta 'ka",,"o'dyoa","bã'pã 'ka",,,,,,,"dyĩ'bĩã","dyãbã 'kã (similar to tripod)","dya'i 'we ko'a (dya'i 'tigre')",,,,,"waʔ'ia",,"kõ'rẽ ri'ka","wẽ'ã 'ka",,"a'waka",,,"bĩ'rĩ pi'ka",,,,,,"ua",,,,,,,"ĩʔ'ĩã",,,"beʔ'ia",,,"eʔ'sua","pu'pe ti'ka","pa'koro 'ka","ã'kaka",,"bũ'dyũã",,,,"buʔ'dya bo'ia",,,,"ã'dyã'ka",,,"bẽ'rẽ ri'ka","wa'i bi'ki rã'kã",,"o'ia, 'pare ki'ka 'tortuga de tierra' ","dã'hẽã",,,,,,,,,"wã'hũã",,,"a'rowa'ka","ã'bĩã","o'koi 'pakoa",,,,"bũ'bũ ti'ka","kũãparãka","koʔ'be ro'ka","pi 'pia",,"o'dya 'ka","uru'uru ri'ka",,,,,,,,,,,
"Tucanoan ","Tanimuca tnc (ortho)","AP",,,"kahu",,"bẽ'kã 'ka","pãta ka",,"o'dyoa","bã'pã 'ka",,,,,,,"dyĩ'bĩã","dyãbã 'kã (similar to tripod)","dya'i 'we ko'a (dya'i 'tigre')",,,,,"waʔ'ia",,"kõ'rẽ ri'ka","wẽ'ã 'ka",,"a'waka",,,"bĩ'rĩ pi'ka",,,,,,"ua",,,,,,,"ĩʔ'ĩã","maa",,"beʔ'ia",,,"eʔ'sua","pu'pe ti'ka","pa'koro 'ka","ã'kaka",,"bũ'dyũã",,,,"buʔ'dya bo'ia",,,,"ã'dyã'ka",,,"bẽ'rẽ ri'ka","wa'i bi'ki rã'kã",,"o'ia, 'pare ki'ka 'tortuga de tierra' ","dã'hẽã",,,,,,,,,"wã'hũã",,,"a'rowa'ka","ã'bĩã","o'koi 'pakoa",,,,"bũ'bũ ti'ka","kũãparãka","koʔ'be ro'ka","pi 'pia",,"o'dya 'ka","uru'uru ri'ka",,,,,,,,,,,
"Tucanoan","Tucano hr97 (phono)","West, Birdie 1980. Gramática popular del tucano. Bogotá: MG.; Ramirez, Henri. 1996b. A fala tukano dos Ye'pâ-masa. Tomo 2: Dicionário. CEPLA Working Papers in Amerindian Linguistics. Guajará-Mirim: UNIR.
","buû","bosô","ɨsó","diâ-u'tî'karo","bia-põrá, bo'koro-, dɨpó-tĩ'a-, duhûsa, jamîkã",,"pamô","osó (h&r)","mumiâwɨ̃, mumîkɨ̃, mumɨ̂ -bɨkɨ","wesé-ko'tero","ĩ'i-","akê-jĩi-",,"jesê-bu'ru","mipí","kii-puú-wihiro","jamâ","diâjɨ",," ","diâ-kata, diâ-koma (there are more species)",,"wa'î",,"dɨ̃ʔkõẽ́-wɨ̃ (h&r)","bɨkô","sêe-","aâ","waso-wihí","emô","mimî","joasṍ (h&r)","jaî",,"tɨ̃ɨ̂tɨ̃","iki",,"doê","katâ-kaa-õ'aro, wagaró","u'kuâ-","sãrâ","diâ-wekɨ","semê","i'i-","mahâ",,"bi'î",,"diâ-jo'o",,"bɨpɨ̂-pako","wekó",,"jesê-sɨtigí","bɨ'ɨ̂","wa'tô",,,,"ãhu-pẽá 'borrachudo', nu'rigɨ 'pium'","wɨ̃rɨ̂",,"pĩrô","ãjâ","oreró","dɨ'tɨ̂","wekɨ̂","butu-","úhuri (h&r)","dasê","jukâ","uti-","wã'rôpĩ","kõré",,,"masa-aké",,"ãhu-","momôro",,,"ãpɨ̂",,,,,,"kutîpa","sɨ̃'ɨ̃","bɨpɨ̂","ãjâ","tẽhẽ","taárokɨ",,,,,,,,,,,"
"
"Tucanoan","Tucano (ortho)","AP","buû","bosô","ɨsó","diâ-u'tî'karo","bia-põrá, bo'koro-, dɨpó-tĩ'a-, duhûsa, jamîkã",,"pamô",,"mumiâwɨ̃, mumîkɨ̃, mumɨ̂ -bɨkɨ","wesé-ko'tero","ĩ'i-","akê-yĩi-",,"yesê-bu'ru","mipí","kii-puú-wihiro","yamâ","diâyɨ",," ","diâ-kata, diâ-koma (there are more species)",,"wa'î",,,"bɨkô","sêe-","aâ","waso-wihí","emô","mimî",,"yaî",,"tɨ̃ɨ̂tɨ̃","iki",,"doê","katâ-kaa-õ'aro, wagaró","u'kuâ-","sãrâ","diâ-wekɨ","semê","i'i-","mahâ",,"bi'î",,"diâ-yo'o",,"bɨpɨ̂-pako","wekó",,"yesê-sɨtigí","bɨ'ɨ̂","wa'tô",,,,"ãhu-pẽá 'borrachudo', nu'rigɨ 'pium'","wɨ̃rɨ̂",,"pĩrô","ãyâ","oreró","dɨ'tɨ̂","wekɨ̂","butu-",,"dasê","yukâ","uti-","wã'rôpĩ","kõré",,,"masa-aké",,"ãhu-","momôro",,,"ãpɨ̂",,,,,,"kutîpa","sɨ̃'ɨ̃","bɨpɨ̂","ãyâ","tẽhẽ","taárokɨ",,,,,,,,,,,"
"
"Tucanoan ","Tuyuka tue IDS orthographic","IDS list",,,"ɨ'so",,,"generic ant: pe'ta; bẽ'kã",,"o'so","bũ'bĩã-wɨ̃; bũ'bĩã",,,"generic monkey: a'ke",,,,,"yã'bã","'diayi",,"generic dolphin: o'ko-puti-bate-gɨ","'patu","sã'ã",,,"dõkẽã-'wɨ̃; dõkẽ'ã",,"generic monkey: a'ke","'kaa",,"generic monkey: a'ke",,,,,,,,,,"generic monkey: a'ke",,,,"'kia-wɨ̃; 'kia",,,"wĩ'ĩpɨtɨ","o'a",,,"bɨ'pɨ-pako","we'ko",,,,,,,,"wĩyã'wɨ̃; wĩ'yã",,"generic lizard: yua'sõ","generic snake: ã'yã","generic snake: ã'yã",,,,,"turtle: 'kuu",,"yu'ka","utia'wɨ̃; uti'a",,,,,,,"ãũã'wɨ̃; ãũ'ã",,"bũ'dĩ","kasi'awɨ̃; kasi'a",,"bu'a",,,,,"ku'tiapa","sɨ̃'ɨ̃","bɨ'pɨ","ã'yã-kase-ro",,"frog: õ'bãã",,,,,,,,,,,
"Tucanoan","Tuyuka tue IDS phonemic","Jagannathan, D",,,"ɨʔso",,,"generic ant: peʔta; bẽʔkã",,"oʔso","bũʔbĩã-wɨ̃; bũʔbĩã",,,"generic monkey: aʔke",,,,,"jãʔbã","ʔdiaji",,"generic dolphin: oʔko-puti-bate-gɨ","ʔpatu","sãʔã",,,"dõkẽã-ʔwɨ̃; dõkẽʔã",,"generic monkey: aʔke","ʔkaa",,"generic monkey: aʔke",,,,,,,,,,"generic monkey: aʔke",,,,"ʔkia-wɨ̃; ʔkia",,,"wĩʔĩpɨtɨ","oʔa",,,"bɨʔpɨ-pako","weʔko",,,,,,,,"wĩyãʔwɨ̃; wĩ'yã",,"generic lizard: yuaʔsõ","generic snake: ãʔjã","generic snake: ãʔjã",,,,,"turtle: ʔkuu",,"yuʔka","utiaʔwɨ̃; utiʔa",,,,,,,"ãũãʔwɨ̃; ãũʔã",,"bũʔdĩ","kasiʔawɨ̃; kasiʔa",,"buʔa",,,,,"kuʔtiapa","sɨ̃ʔɨ̃","bɨʔpɨ","ãʔjã-kase-ro",,"frog: õʔbãã",,,,,,,,,,,
"Tucanoan","Tuyuka","Tamayo L., César 1988. Mi primer diccionario: español-tuyuca, tuyuca-español (primera edición), ed. por J. Barnes. Bogotá: ILV.","búu"," ",,,,,"pã'bṍ","oso",,"pĩ'dṍ",,,,"kii-je'sé",,,"jã'bã́","díaji",,,"díakata",,"wa'í",,"noquẽá","bɨ'kó",,,,"ẽ'bṍ","bĩ'bĩ́","jua'sṍ","jái",,,,"juu",,"ka'tá-sõrõ","wa'ú","sãna","día-jese","sẽ'bẽ́",,"bã'ã́",,"wĩĩpõtɨ̃",,"día-tĩbĩ","díatĩmi",,"weko","kãã","je'sé","bɨ'ɨ́",,,,"jee",,,"juasṍ","ã'jã́",,,,"we'kɨ́","bu'túa-wɨ̃","kúu","da'sé",,"utiá",,,,"aque","a'ké",,"ãũã́",,,,,"bua",,,"gueeró","momoro","kutiapa","sɨ̃ɨ̃","bɨpɨ","ãñakasero","tẽẽ","tɨ'bɨ́ro",,,,,,,,,,,
"Tucanoan","Tuyuka","AP","búu"," ",,,,,"pã'bṍ","oso",,"pĩ'dṍ",,,,"kii-je'sé",,,"jã'bã́","díayi",,,"díacata",,"wa'í",,"noquẽá","bɨ'kó",,,,"ẽ'bṍ","bĩ'bĩ́","jua'sṍ","jái",,,,"juu",,"ka'tá-sõrõ","wa'ú","sãna","día-jese","sẽ'bẽ́",,"bã'ã́",,"wĩĩpõtʉ̃",,"día-tĩbĩ","díatĩmi",,"weco","cãã","je'sé","bɨ'ɨ́",,,,"yee",,,"yuasṍ","ã'jã́",,,,"we'kɨ́","bu'túa-wɨ̃","kúu","da'sé",,"utiá",,,,"aque","a'ké",,"ãũã́",,,,,"bua",,,"gueeró","momoro","cutiapa","sʉ̃ʉ̃","bʉpʉ","ãñacasero","tẽẽ","tɨ'bɨ́ro",,,,,,,,,,,
"Tucanoan","Yuruti (phono)","Huber, R.; Reed, R. 1992. Comparative vocaulary: selected words in indigenous languages of Colombia. Instituto Linguistico de Verano.","búu",,"ɨ́so",,,,"pã́bõ","óso","bõõbĩã-wɨ̃","pĩdõ",,,,"jese",,,"jã́bã","díaji",,,,,"wái",,"dɨ̃́kõwẽ","bɨ́ko",,,,"ébõãbɨkɨ","bĩ́bĩ","juaso","jái",,,,,,"káta","wa'ú",,"díajese","sẽ́ẽbẽ","kía-wɨ̃","bã'ã́",,"wĩ́ĩpotɨ ('páigɨ 'rat')",,"día-tɨ̃bɨ̃",,"bɨ́pɨ","wéko",,"jesesusura","bɨ́",,,,,,,,"ã́jã",,,,"wékɨ","búutua-wɨ̃","kúu","dásee",,,,,,,"a'ké",,,,,,,,,,,,,,"bɨ́pɨ",,,"tɨ'bɨ́ɨro",,,,,,,,,,,"
"
